,title,genre,mood
293,Alone,reality,laugh
294,Stranger Things,scifi,thrilled
295,Schitt's Creek,comedy,laugh
296,The Good Place,scifi,thrilled
297,One-Punch Man,action,thrilled
298,The Last Kingdom,action,thrilled
299,Food Wars! Shokugeki no Soma,drama,thrilled
300,The Crown,drama,thrilled
301,Ash vs Evil Dead,action,thrilled
302,Lucifer,scifi,thrilled
303,Forged in Fire,reality,laugh
304,The OA,scifi,thrilled
305,The Magicians,scifi,thrilled
306,Miraculous: Tales of Ladybug & Cat Noir,animation,thrilled
307,Queen of the South,drama,thrilled
308,Grace and Frankie,drama,thrilled
309,Designated Survivor,war,thrilled
310,Slasher,crime,thrilled
311,60 Days In,documentation,learn
312,Fauda,war,thrilled
313,Call My Agent!,comedy,laugh
314,Travelers,scifi,thrilled
315,Medici: Masters of Florence,war,thrilled
316,Leah Remini: Scientology and the Aftermath,documentation,learn
317,Bloodline,drama,thrilled
318,Crazy Ex-Girlfriend,comedy,laugh
319,Narcos,drama,thrilled
320,DC's Legends of Tomorrow,drama,thrilled
321,Norsemen,comedy,laugh
322,Shooter,action,thrilled
323,Marcella,crime,thrilled
324,Into the Badlands,action,thrilled
325,Scream: The TV Series,thriller,thrilled
326,iZombie,crime,thrilled
327,Supergirl,scifi,thrilled
328,Sense8,scifi,thrilled
329,Kim's Convenience,comedy,laugh
330,Wynonna Earp,western,thrilled
331,Unbreakable Kimmy Schmidt,comedy,laugh
332,Dark Matter,scifi,thrilled
333,Flowers,comedy,laugh
334,Versailles,drama,thrilled
335,Good Witch,scifi,thrilled
336,Glitch,scifi,thrilled
337,Wet Hot American Summer: First Day of Camp,comedy,laugh
338,Frontier,action,thrilled
339,PJ Masks,family,nostalgic
340,Love,comedy,laugh
341,Servant of the People,comedy,laugh
342,Zoo,drama,thrilled
343,Crashing,comedy,laugh
344,The Disastrous Life of Saiki K.,scifi,thrilled
345,BUNK'D,comedy,laugh
346,Van Helsing,scifi,thrilled
347,Quantico,drama,thrilled
348,ERASED,drama,thrilled
349,F is for Family,comedy,laugh
350,Master of None,drama,thrilled
351,Hap and Leonard,action,thrilled
352,Easy,drama,thrilled
353,Occupied,war,thrilled
354,3%,scifi,thrilled
355,The Ranch,comedy,laugh
356,Bordertown,drama,thrilled
357,Making a Murderer,documentation,learn
358,La Casa,drama,thrilled
359,Wanted,crime,thrilled
360,Fuller House,comedy,laugh
361,Secret City,war,thrilled
362,Mobile Suit Gundam: Iron-Blooded Orphans,war,thrilled
363,Chef's Table,documentation,learn
364,Locked Up,drama,thrilled
365,Degrassi: Next Class,drama,thrilled
366,Aquarius,drama,thrilled
367,Frequency,scifi,thrilled
368,Greenleaf,drama,thrilled
369,Gilmore Girls: A Year in the Life,drama,thrilled
370,Last Chance U,documentation,learn
371,Roman Empire,drama,thrilled
372,Reply 1988,comedy,laugh
373,Rebellion,war,thrilled
374,The Get Down,drama,thrilled
375,Trollhunters: Tales of Arcadia,scifi,thrilled
376,Voltron: Legendary Defender,action,thrilled
377,The Letdown,comedy,laugh
378,Ajin,action,thrilled
379,Transformers: Robots In Disguise,comedy,laugh
380,Lady Dynamite,drama,thrilled
381,Signal,crime,thrilled
382,Paranoid,thriller,thrilled
383,El marginal,drama,thrilled
384,A Very Secret Service,comedy,laugh
385,Flaked,comedy,laugh
386,Danger Mouse,comedy,laugh
387,White Rabbit Project,reality,laugh
388,Cinderella and Four Knights,drama,thrilled
389,The Cuba Libre Story,documentation,learn
390,The Haunted House,thriller,thrilled
391,Sunny Bunnies,animation,thrilled
392,Dinotrux,action,thrilled
393,Zumbo's Just Desserts,reality,laugh
394,Dawn of the Croods,action,thrilled
395,The Adventures of Puss in Boots,comedy,laugh
396,Grizzy & the Lemmings,animation,thrilled
397,Terrace House: Boys & Girls in the City,reality,laugh
398,Club de Cuervos,drama,thrilled
399,T@gged,drama,thrilled
400,Crazyhead,comedy,laugh
401,The Windsors,comedy,laugh
402,The K2,action,thrilled
403,Netflix Presents: The Characters,comedy,laugh
404,W/ Bob & David,comedy,laugh
405,The Mr. Peabody & Sherman Show,animation,thrilled
406,Between,scifi,thrilled
407,Love O2O,drama,thrilled
408,Puffin Rock,comedy,laugh
409,Care Bears and Cousins,animation,thrilled
410,Dragons: Race to the Edge,scifi,thrilled
411,Case,drama,thrilled
412,The Method,crime,thrilled
413,La Niña,action,thrilled
414,Midnight Diner: Tokyo Stories,drama,thrilled
415,Inside the World's Toughest Prisons,crime,thrilled
416,Conspiracy,history,learn
417,The Deep,action,thrilled
418,Rosario Tijeras,drama,thrilled
419,Bella and the Bulldogs,comedy,laugh
420,Chelsea Does,documentation,learn
421,Molang,animation,thrilled
422,Ask the Storybots,animation,thrilled
423,Heidi,animation,thrilled
424,Cooked,documentation,learn
425,World of Winx,action,thrilled
426,Inspector Gadget,action,thrilled
427,Kong: King of the Apes,animation,thrilled
428,Real Rob,comedy,laugh
429,Tokyo Trial,drama,thrilled
430,Beat Bugs,family,nostalgic
431,Lego Bionicle: The Journey to One,action,thrilled
432,Intersection,drama,thrilled
433,No Tomorrow,comedy,laugh
434,Skylanders Academy,action,thrilled
435,Tales by Light,documentation,learn
436,Kuromukuro,comedy,laugh
437,Hip Hop Evolution,documentation,learn
438,Chef's Table: France,documentation,learn
439,Project Mc²,family,nostalgic
440,Nightmare Teacher,drama,thrilled
441,Secrets of Great British Castles,documentation,learn
442,Rainbow Ruby,family,nostalgic
443,Simon,comedy,laugh
444,Richie Rich,comedy,laugh
445,Marseille,drama,thrilled
446,Another Miss Oh,comedy,laugh
447,Paquita Salas,comedy,laugh
448,Unnatural Selection,reality,laugh
449,H20: Mermaid Adventures,animation,thrilled
450,Dear My Friends,comedy,laugh
451,The Sound of Your Heart,comedy,laugh
452,The Good Cop,comedy,laugh
453,Sons of the Caliphate,drama,thrilled
454,El Chema,crime,thrilled
455,Captive,documentation,learn
456,"Hello, My Twenties!",comedy,laugh
457,Haters Back Off,comedy,laugh
458,Good Morning Call,comedy,laugh
459,Witch Hunt: A Century of Murder,documentation,learn
460,Spotless,crime,thrilled
461,Cheer Squad,reality,laugh
462,Fartsa,drama,thrilled
463,The Paper,drama,thrilled
464,Word Party,family,nostalgic
465,Popples,family,nostalgic
466,StoryBots Super Songs,animation,thrilled
467,Sin senos sí hay paraíso,action,thrilled
468,Chelsea,comedy,laugh
469,Mossad 101,action,thrilled
470,Vanished 46,drama,thrilled
471,The Miracle,drama,thrilled
472,White Nights,drama,thrilled
473,Toon,comedy,laugh
474,72 Cutest Animals,documentation,learn
475,If I were an Animal,documentation,learn
476,Home: Adventures with Tip & Oh,comedy,laugh
477,A Touch of Green,drama,thrilled
478,Hibana: Spark,drama,thrilled
479,The Truth Seekers,drama,thrilled
480,Atelier,drama,thrilled
481,My Runway,comedy,laugh
482,72 Dangerous Places to Live,documentation,learn
483,Kulipari: An Army of Frogs,action,thrilled
484,Kazoops!,animation,thrilled
485,Little Things,drama,thrilled
486,The Princess Weiyoung,drama,thrilled
487,Terrace House: Aloha State,reality,laugh
488,Trailer Park Boys: Out of the Park: Europe,action,thrilled
489,Chasing Cameron,reality,laugh
490,Old Money,comedy,laugh
491,Coach Snoop,documentation,learn
492,Stories by Rabindranath Tagore,drama,thrilled
493,Три кота,animation,thrilled
